Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
Indran Chelva Rural Pathway Scholarship in Medicine,University of Western Australia,The Indran Chelva Rural Pathway Scholarship in Medicine provides assistance to a commencing student who has accepted an offer of assured entry into the course for the degree of Doctor of Medicine (MD) at The University of Western Australia through the Rural Pathway to MD. The scholarship is to support and assist a student experiencing financial hardship to successfully complete an undergraduate degree course and undertake the Doctor of Medicine (MD) at the University.This scholarship is not available on an annual basis.,,End November,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=4462&page=25&all=1&page1=24&page2=24
Industrial biotechnology and process engineering PhD scholarships,Queensland University of Technology,"We are seeking two excellent PhD candidates with strong backgrounds or an interest in bioprocess engineering, industrial microbiology or enzyme biochemistry.","This is a scholarship for PhD candidates with strong backgrounds or an interest in bioprocess engineering, industrial microbiology or enzyme biochemistry. You must have first-class honours (H1), A masters degree or equivalent degree from a recognised institution in a relevant discipline (such as process engineering, chemical engineering, molecular biology, biochemistry, chemistry or biotechnology) and fulfil our Doctor of Philosophy (PhD) admission criteria, including English language requirements.",,Scholarship,,Co-Ed,,"Engineering & Technology, Mathematics, Sciences",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/industrial-biotechnology-and-process-engineering-phd-scholarships
Industrial Transformation Training Centre PhD Scholarship,University of Western Australia,"The project will explore and develop new synthetic tissue for implantation and preliminary testing in animals. Specifically, the student will work within a team developing novel scaffolds with heterogeneous physical properties. The student will focus on the molecular biology and cellular interaction with the scaffold's mechanical environment. This project is part of a new Australian Research Council (ARC) Industrial Transformation Training Centre (ITTC) in Personalised Therapeutic Technologies and will be partnered with OrthoCell, a medtech company active in regenerative medicine.",,End October,Scholarship,,Co-Ed,Annual,,,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=7921&page=25&all=1&page1=24&page2=24
Industry PhD Scholarship in Derivatives Trading Analysis,La Trobe University,"A doctoral scholarship awarded to an outstanding candidate to undertake research with a view of developing an open standard for the wholesale exchange traded derivatives market. This Industry PhD scholarship, established by La Trobe University in partnership with Derivatives.com.au (DCA), will be awarded to a qualified applicant with a background in computer science, information technology, information systems, and related fields in engineering. The aim of this research project is to develop an open standard to help the derivatives trading industry and regulators across various jurisdictions streamline the derivatives trading and compliance processes. This open standard will include an information transmission protocol that enables traders, brokers and regulators to monitor and analyse its data traffic in real time. The PhD candidate undertaking the research will be required to understand the current practice through on-site training, research into potential solutions, and specify requirements. Based on the findings, the PhD candidate will design and develop an industry standard, and build an experimental system to verify and evaluate the proposed standard and compliance process. The research will be based at DCA in Sydney, Australia and the candidate will engage in frequent meetings with their supervisors and other staff members at La Trobe. Applicants should have a high level of achievement, including a first class honours degree or equivalent.","Essential: - First class honours degree or equivalent in computer science, information technology and/or electrical engineering - International applicants: Meet the English language entry requirements at La Trobe University Desirable: - Understanding of the current industry practice in wholesale derivatives training - Knowledge of computer networks, data communication and cybersecurity",Open until filled,Scholarship,,Co-Ed,Once Only,,Melbourne Metropolitan,,,,http://www.latrobe.edu.au/research/future/costs-scholarships/specialist-scholarships
Information and Communication Technology Honours Scholarship,Griffith University,The Information and Communication Technology Honours Scholarship is offered to students who are undertaking an undergraduate information technology honours program.,"Applicants must: be Australian or New Zealand citizens or permanent residents or humanitarian visa holders, international students; undertaking an honours program in information technology. Eligible programs are: Bachelor of Information Technology (Honours) or Bachelor of Multimedia (Honours). Selection is based on academic merit of 5.5 or above.",Early March,Scholarship,,Co-Ed,Annual,Computing & Information Technology,"Brisbane Metropolitan, Gold Coast",4,,"Information technology, Multi-media",http://www.griffith.edu.au/scholarships/scholarship-listings/information-and-communication-technology-honours-scholarship
Information and Communications Technology (ICT) Excellence Scholarships,University of Queensland,The scholarship was established in 2007 and maintained by an annual gift from the School of Information Technology and Electrical Engineering to encourage and assist first year students studying in the areas of information and communications technology.,"Applicants must: be Australian residents or permanent residents; be international students who have completed year 11 and 12 in Australia; be intending to enrol in one of the following programs: Bachelor of Information Technology; or Bachelor of Engineering (Honours); or a dual program. Selection is based on academic achievement in secondary school studies; interest in ICT, and leadership skills.",,Scholarship,,Co-Ed,Annual,"Computing & Information Technology, Engineering & Technology",Brisbane Metropolitan,,,"Engineering, Electrical engineering, Computer engineering, Biomedical engineering, Mechatronic engineering, Information technology, Software engineering, Multimedia design, Communication technology",http://scholarships.uq.edu.au/
INPEX Aboriginal and Torres Strait Islander Scholarship,University of Western Australia,INPEX Ichthys Pty Ltd has donated funds to The University of Western Australia to provide a scholarship to encourage and assist high achieving Indigenous students to commence an undergraduate degree course at the University.,,Early November,Scholarship,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=5282&page=24&all=1&page1=23&page2=23
Intelligent Materials and Devices Scholarship,University of South Australia,,,,Scholarship,,Co-Ed,Once Only,,South Australia,,,,http://
Interior Secrets Furniture Scholarship,Interior Secrets,The scholarship is established to support students looking to further their education and create opportunities for their futures.,"Applicants must: have completed first year of study; be studying at a tertiary level within a College or University; be proficient in English. Selection is based on one of the following: 250 words or less explaining the most ridiculous situation in which they had to study (e.g. outside or next door to a night club); one or two sentences explaining what their favourite piece of furniture, homewares or decor is on website and why; an image that shows them studying in a ridiculous position or situation; a photo caption (such as a meme); a song; or a video.",,Equity Scholarship,"Undergraduate, Postgraduate",Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Victoria,,Educational disadvantage,,http://www.interiorsecrets.com.au/scholarship
International Aviation Women's Association Scholarship,Swinburne University of Technology,"The International Aviation Women's Association (IAWA) is a non-profit association with members in 38 countries, representing 257 major companies and aviation authorities. IAWA is dedicated to promoting the advancement of women in the aviation.","Be an International student, an Australian citizen, a New Zealand Citizen, an Australian permanent resident or holder of a permanent humanitarian visa. Be a female student studying full time in an aviation undergraduate or post graduate course. Submit a personal statement of no more than 500 words outlining your interest and passion for aviation and financial need for the scholarship Submit a referee report outlining leadership quality and community participation.",End January,Scholarship,,Female,,,,,,,
International Centre for Radio Astronomy Research (ICRAR) Summer Studentships,University of Western Australia,"The International Centre for Radio Astronomy Research (ICRAR) is offering eight student fellowships up to $6000, four of which will be co-funded with iVEC for projects with computational elements. This is an excellent opportunity for undergraduate students to experience astronomy related research based at either Curtin University or The University of Western Australia. Successful applicants will join ICRAR for a 10 week period beginning in late November and ending in mid February, Projects cover a broad range of topics taken from astronomy, astrophysics, databases, engineering, ICT and parallel computing. Each studentship is for up to $6,000, $500 paid as a weekly stipend and a $1,000 payment on submission of final report. Students from outside WA also receive one return airfare and an accommodation subsidy while in Perth.",,Early August,Scholarship,,Co-Ed,,"Engineering & Technology, Sciences",,,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=1061&page=25&all=1&page1=24&page2=24
International Experience Incentive Scheme (IEIS),Griffith University,All full-time students participating in Griffith University Global Mobility programs (exchange and short term programs) may be eligible for an IEIS grant to offset the cost of participating in international experiences.,Applicants must: remain enrolled in a Griffith undergraduate or postgraduate degree program on a full-time basis; normally achieve a grade point average of 5.5 or above; and be granted credit towards the qualification for the study or work undertaken overseas.,,Travel Grant outside Australia,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services","Brisbane Metropolitan, Gold Coast",,,,http://www.griffith.edu.au/research-study/scholarships/international-experience-incentive
International Merit Double Degree Scholarship,Queensland University of Technology,"This scholarship is jointly sponsored by our QUT Business School, Creative Industries Faculty, and Science and Engineering Faculty.","A high-achievement scholarship for future international science and engineering, business and creative industries undergraduate double degree students. You will be considered for this scholarship if you: have completed a qualifying course from any country outside Australia with the required academic results; meet minimum English language entry requirements for direct admission to the double degree program. If you are completing an English preparation course at QUT, you may be eligible for this scholarship once you have met the English language requirements.You do not need to apply for this scholarship as you will be assessed automatically.",No Closing Date,Scholarship,,Co-Ed,Multiple/year,"Business & Management, Communications, Creative Arts, Mathematics, Sciences",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/international-merit-double-degree-scholarship
International Merit Scholarship,Queensland University of Technology,,"This is a merit-based scholarship for future international high-achieving students who want to study science and engineering. You will be considered for this scholarship if you: have completed a qualifying course from any country outside Australia with the required academic results; meet minimum English language entry requirements for direct admission to the degree program. If you are completing an English preparation course at QUT, you may be eligible for this scholarship once you have met the English language requirements.You do not need to apply for this scholarship as you will be assessed automatically.",No Closing Date,Scholarship,,Co-Ed,Multiple/year,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services",Brisbane Metropolitan,,,,http://www.qut.edu.au/study/fees-and-scholarships/scholarships/international-merit-scholarship
International WaterCentre Masters Scholarships (Master of Integrated Water Management) Domestic,International WaterCentre,"The International WaterCentre (IWC) Masters Scholarships are prestigious scholarships awarded annually to outstanding candidates interested in studying the Master of Integrated Water Management (MIWM) and who clearly demonstrate potential as future water leaders. The program is delivered at The University of Queensland and designed to equip participants with the knowledge and skills they need to create innovative, whole-of-water-cycle solutions to complex water management issues. The program takes a transdisciplinary and hands-on learning approach, integrating coursework in water science, engineering, policy and planning, economics and community development.","Applicants must: have completed an undergraduate degree in a related field of study from an internationally-recognised institution; have at least 2 years of professional experience (paid work or volunteering experience) relevant to the program. Although professional experience is not essential for admission in the MIWM program, candidates with relevant professional experience have a higher chance of securing a scholarship.",End September,Scholarship,,Co-Ed,Annual,Environmental Studies,Brisbane Metropolitan,2,,Water management,http://www.watercentre.org/scholarships-domestic
International WaterCentre Partial Scholarships (Integrated Water Management Postgraduate Degree),International WaterCentre,"The International WaterCentre (IWC) will offer a partial scholarship to every self-funded student enrolling in an Integrated Water Management program (Masters, Graduate Diploma or Graduate Certificate) commencing in Semester 1, 2016. Partial scholarships are available to support self-funded domestic and international students who have been unsuccessful in securing a full-tuition scholarship. Self-funded students from the United States, Canada or a country member of the European Union will receive $7,000 towards tuition fees for the MIWM program at The University of Queensland plus up to $2,500 to refund their flights to Australia. Self-funded students from anywhere else in the world will receive $7,000 towards tuition fees for the MIWM program.","Partial scholarships will be awarded to Australian and international students who do not receive any full-tuition scholarship. To receive a partial scholarship, eligible students must receive an unconditional offer of admission from The University of Queensland (UQ) in the IWC Master of Integrated Water Management (or Graduate Certificate or Graduate Diploma) commencing in Semester 1, 2016 and have successfully enrolled in the program by February 2016.",end of September (domestic); 30 November (international),Scholarship,,Co-Ed,Annual,Environmental Studies,Brisbane Metropolitan,,,Water management,http://watercentre.org/master-of-integrated-water-management/tab/pillar4/
Ivor A Gill Memorial Scholarship in Agricultural Science,University of Queensland,"Established in 1954 by a gift from Mrs E A Gill in memory of her son Ivor A Gill, the purpose of the scholarship is to assist a student in the Faculty of Science, who is engaged in studies calculated to lead to an increase in the productivity of the pastoral industries of Australia.",Applicants must: be currently enrolled in an undergraduate of postgraduate degree managed by the Faculty of Science; and demonstrate financial need. Selection is based on academic achievement.,,Scholarship,,Co-Ed,Annual,Agriculture & Natural Resources,Ipswich/West Moreton,1,,"Agriculture, Pasture production",http://scholarships.uq.edu.au/scholarship/
James and Everingham Bursary,University of Queensland,The bursary was established in 1975 by a gift to the Queensland Agricultural College made by Dr N P Everingham in memory of Anne Elizabeth James and Stephan Nixon Everingham who died in a motor accident in 1973. Anne Elizabeth James was enrolled in the Associate Diploma of Applied Science (Food Technology) at the College in 1972/1973 and Stephan Everingham graduated with the degree of Bachelor of Applied Science (Rural Technology) in 1972.,Applicants must be: enrolled in a program related to food technology or rural agriculture. Selection is based on academic merit and financial need.,,Scholarship,,Co-Ed,Annual,"Agriculture & Natural Resources, Sciences",Brisbane Metropolitan,1,,"Food technology, Rural technology",http://scholarships.uq.edu.au/
James Rice Postgraduate Award,Australian National University,"The scholarship is named in memory of the late James Rice, formerly of Alice Springs. It is intended to attract Australian or international students to pursue postgraduate research for a PhD degree at the John Curtin School of Medical Research (JCSMR) in a field broadly related to Multiple Sclerosis.","Applicants must: be Australian and New Zealand citizens, or permanent residents, or international students; and be undertaking PhD research in the field of Multiple Sclerosis.",End August; End October,"Scholarship, Allowance",,Co-Ed,Annual,Medicine,Australian Capital Territory,1,,"Medical sciences, Medical research, Medical science",http://students.anu.edu.au/scholarships/gr/off/dom/james-rice.php
Jamie Mackie Southeast Asia Travel Grant,Australian National University,The Jamie Mackie Southeast Asia Travel Grant assists current students of the ANU College of Asia and Pacific to undertake research or study for which they will benefit from travel to Southeast Asia. The aim of this grant is to promote Australia's engagement with Southeast Asia and/or Southeast Asia's engagement with Australia.,Applicants must be enrolled in an undergraduate or graduate coursework or higher degree by research program provided by the College of Asia and the Pacific. Preference will be given to applicants enrolled in programs where travel assistance is not normally provided.,Mid October,Travel Grant outside Australia,,Co-Ed,Annual,Humanities & Social Sciences,Australian Capital Territory,,,Asia-Pacific studies,http://asiapacific.anu.edu.au/students/scholarships/jamie-mackie-southeast-asia-travel-grant
Jane Ariadne McLaurin Thomson and Barclay Thomson Scholarship,The University of Melbourne,"This scholarship is one of several trust-funded scholarships available through the Faculty of Medicine, Dentistry and Health Sciences for students who have applied for, or are enrolled in a graduate research degree of the faculty.","Applicants must: be applying, or enrolled in a graduate research degree within the Faculty of Medicine, Dentistry and Health Sciences, and be researching in the field of Arthritis. Selection is based on academic merit.",31 October,Scholarship,,Co-Ed,Occasional,Medicine,Melbourne Metropolitan,1,,"Medicine, Health studies, Ageing, Arthritis studies",http://services.unimelb.edu.au/scholarships
Jane Connor Travel Grant,Monash University,,"Applicants must: be full-time undergraduate students enrolled in the Bachelor of Medicine/Bachelor of Surgery at a Monash campus in Australia, undertaking an elective placement in a seriously disadvantaged Australian community or developing country. The bursary is open to both domestic and international students. Selection is based on: academic achievement; the merit of the proposed work program; and the quality of the written submission.",End October,"Travel Grant outside Australia, Travel Grant within Australia",,Co-Ed,Annual,Medicine,Melbourne Metropolitan,3,,,http://www.monash.edu/students/scholarships/current/view/jane-connor-travel-grant-5645A
Jane M Klausman Women in Business Scholarships,Zonta International Foundation,"Established in 1998 by Jane M. Klausman, a member of the Zonta Club of Syracuse, New York USA, and the 1990-1995 Zonta International Parliamentarian, the Jane M. Klausman Women in Business Scholarship is awarded annually to women pursuing undergraduate or master's degrees in business management.","Women of any nationality pursuing undergraduate business degrees who demonstrate outstanding potential in the field are eligible. Applicants must: be enrolled in at least the second year of an undergraduate degree program at an accredited university/college/institute at the time the funds are received; have achieved an outstanding academic record during academic studies; demonstrate intent to complete a program in business; and show outstanding achievement in business-related subjects, as recorded on the official university/college/institute transcript.",,Scholarship,,Female,Annual,"Business & Management, Economics",Anywhere in Australia,12,,"Economics, Business, Business economics, Business statistics",http://www.zonta.org/WhatWeDo/InternationalPrograms/JaneMKlausmanWomenInBusinessScholarship.aspx
Jean Rogerson Honours Scholarship in the UWA Business School,University of Western Australia,The scholarship was established in honour of Miss Jean Rogerson and is made available to a student in an honours course at the UWA Business School.,Applicants must be enrolled full-time in an honours course at the UWA Business School. Selection is based on academic performance in the second or third year of the Bachelor of Economics or Bachelor of Commerce degrees.,Early November,Scholarship,,Co-Ed,Annual,"Business & Management, Economics",Perth Metropolitan,1,,,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=169&q=jean+rogerson
Jeff McCloy Business and Law Rugby Union Scholarship,University of Newcastle,"The Scholarship was established by Mr Jeff McCloy, it is aimed to provide support to a student who is committed to a career in Business and/or Law and who is a talented Rugby Union player.","Applicants must: be enrolled in any year of the Bachelor of Business and/or Bachelor of Laws program, University of Newcastle; be a member of, and play Rugby Union on a full time basis with, the University of Newcastle Rugby Union Football Club; Demonstrate academic progress either by an Australian Tertiary Admission Rank (ATAR) or equivalent, of a pass level or higher for commencing students, or a Grade Point Average (GPA) of 4.0 for continuing students; not have previously completed a degree; and not be the recipient of another UON Donor funded or sponsored scholarship concurrently.",Early March,Scholarship,,Co-Ed,Annual,"Business & Management, Law",Hunter,,,"Law, Business",http://www.newcastle.edu.au/scholarships/EXT_195
Jennifer McKay Innovative Socio Legal Research Grant,University of South Australia,"Over the course of her past and current research, Professor McKay has innovated in research methods but has found that many funding bodies are wary of such innovations. An example is qualitative research using visual methods (e.g. Photovoice and Photostory) to enable policy makers to have an enhanced understanding of the impact of complex regulation on private and business decision making, with regard to adopting sustainable practices. Professor McKay's experiences in this area have motivated her to create this award.","The Jennifer McKay Socio Legal Research Grant is open to continuing full-time or part-time Doctorate by Research or Masters by Research students enrolled in their second or third year at the University of South Australia. Applicants must have their research proposal approved. The scholarship is open to Australian Citizens, Permanent Residents of Australia and International students. Applicants are required to provide a principal supervisor reference and written statement (maximum 500 words) detailing: - Academic achievements. - Reasons for studying their current program. - The novel and innovative socio-legal nature of their research. - How the research grant will be used. - Future career goals. Applicants would normally be able to study full-time, however part-time applications will be considered with the reason for part-time study clearly outlined in the written statement. The grant may be used to cover: - Travel to undertake research or for presenting at an international conference. - Collecting data. - Collaborating with international or interstate experts. - Any other relevant purpose outlined in the written statement. The grant funds should be utilised within 12 months of payment. If it is not expected that funds will be used within the timeframe, the reasons must be outlined in the written statement. The grant will be awarded on the basis of academic achievement, written statement, and principal supervisor support. Students may be in receipt of another scholarship or grant administered by UniSA.",,Scholarship,,Co-Ed,Annual,,South Australia,,,,http://www.unisa.edu.au/Research/Research-degrees/Scholarships/Jennifer-McKay-Innovative-Socio-Legal-Research-Grant/
Jessie Webb Scholarship,The University of Melbourne,"The late Jessie Stobo Watson Webb, senior lecturer in the School of History, created a fund to enable the university 'to send a student to spend a season in Greece under the direction of the British School of Archaeology at Athens or any other similar school'.",Applicants must: be enrolled in a postgraduate course undertaking research in ancient history or classical studies at the University of Melbourne. The recipient is required as a condition of the award to spend a season (3-6 months) in Greece under the direction of the British School of Archaeology at Athens or any other similar school in Greece. Selection is based on academic merit and proposed program of study in Greece.,End April,Travel Grant outside Australia,,Co-Ed,Annual,"Humanities & Social Sciences, Language & Literature",Melbourne Metropolitan,,,"Ancient history, Classical studies",http://arts.unimelb.edu.au/scholarships
John and Rosemary Pearman Bachelor of Medical Science Scholarship in Honour of Professor Neville Stanley,University of Western Australia,The Pearman family have donated a sum of money to establish the John and Rosemary Pearman Endowment Fund to provide a scholarship in honour of Professor Neville Stanley.,The scholarship is open to students enrolled in the Bachelor of Medicine/Bachelor of Surgery at UWA who are eligible to enrol in the Bachelor of Medical Science honours degree. There are no restrictions on citizenship.,,Scholarship,,Co-Ed,Annual,Medicine,Perth Metropolitan,,,,http://www.scholarships.uwa.edu.au/
John Balfour Memorial Scholarship,The University of Melbourne,,"Applicants must: be undertaking the Master of Engineering, or Master of Information Technology, or Master of Information Systems. Preference will be given to men or women who are serving or have served in the Royal Australian Navy or Royal Navy or the Australian or British Merchant Navy or are the sons or daughters of men or women who have thus served.",,Scholarship,,Co-Ed,Annual,Engineering & Technology,Melbourne Metropolitan,2,,"Engineering science, Engineering",http://currentstudents.eng.unimelb.edu.au/coursework/scholarships/john-balfour/
John F Slowey Memorial Bursary,Australian Catholic University,"Established in 1995 to commemorate the life of Monsignor John F Slowey, whose leadership and vision contributed to the survival and development of Catholic education in New South Wales.",The bursary is open to undergraduate students studying at the Strathfield Campus.,March,Equity Scholarship,Undergraduate,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Sydney Metropolitan,,Educational disadvantage,,http://www.acu.edu.au/study_at_acu/fees_And_scholarships/scholarships_and_financial_support
John F Slowey Memorial Scholarship,Australian Catholic University,"Established in 1995 to commemorate the life of Monsignor John F Slowey, whose leadership and vision contributed to the survival and development of Catholic education in New South Wales.",Applicants must: be undergraduate students; be studying at the Strathfield campus; be enrolled in the second or third year (or part-time equivalent) within the School of Education.,March,Scholarship,,Co-Ed,Annual,Education & Training,Sydney Metropolitan,1,,Education,http://www.acu.edu.au/study_at_acu/fees_And_scholarships/scholarships_and_financial_support
John Haskell Award,UNSW Sydney,The scholarship is available to students completing the Bachelor of Architectural Studies at UNSW Built Environment and intending to enrol in Year 1 of the Master of Architecture degree.,"Applicants must: be completing the final year of Bachelor of Architectural Studies program; and be intending to enrol in Year 1 of the Master of Architecture degree. Selection is based on academic achievements in the third year of the Bachelor of Architectural Studies, particularly performance in the design courses. There are no citizenship restrictions.",31 March,Scholarship,,Co-Ed,Annual,Architecture,Sydney Metropolitan,1,,Architecture,http://www.scholarships.unsw.edu.au/scholarships/id/906
John Hind Opera Viva Instrumental and Vocal Scholarship,University of Western Australia,"Opera Viva (Inc.) has made available a sum of money for the purpose of establishing a fund to honour the contribution made to music in Western Australia by the late John Hind. John Hind's musical activities during his 18 years in Western Australia were impressive in their range and quality. Acclaimed as a teacher, composer, conductor and scholar he was also much in demand as an accompanist. John Hind was acclaimed as the doyen of 20th century opera.",The scholarship is open to students who hold an undergraduate music degree or are currently undertaking study towards a postgraduate music degree at the University.,,Scholarship,,Co-Ed,Annual,Creative Arts,Perth Metropolitan,2,,Music,http://www.scholarships.uwa.edu.au/
John James Memorial Foundation PhD Scholarship for Medical Research,Australian National University,,Applicants must have a Bachelor degree with at least upper second-class honours or a Master degree from a recognised university and be intending to undertake a PhD in medical research.,,Scholarship,,Co-Ed,Occasional,Medicine,Australian Capital Territory,1,,Medical research,http://www.anu.edu.au/students/scholarships-fees/scholarships/john-james-memorial-foundation-phd-scholarship-for-medical
John Kirby Memorial Scholarship,Australian National University,The John Kirby Memorial Scholarship is available for award each year to an eligible ANU bachelor degree student who has been nominated to and has been accepted by University of Versailles Saint-Quentin-en-Yvelines (UVSQ) to study at that University as an exchange student under the terms of the Student Exchange Agreement signed by both institutions and administered through the Student Mobility Program.,The scholarship is open to students enrolled in an undergraduate degree at the Australian National University who have been selected through the Student Mobility Program's application and nomination process to study as an exchange student at UVSQ. The scholarship is open to both domestic and international students. Selection is based on academic merit.,1 December,Travel Grant outside Australia,,Co-Ed,Annual,"Accounting, Agriculture & Natural Resources, Architecture, Psychology, Built Environment, Business & Management, Communications, Computing & Information Technology, Creative Arts, Dental Studies, Economics, Education & Training, Engineering & Technology, Environmental Studies, Food & Hospitality, General Education & Employment Skills, Health Services & Support, Humanities & Social Sciences, Language & Literature, Law, Legal Studies, Mathematics, Medicine, Nursing, Personal Services, Pharmacy, Rehabilitation, Sciences, Social Work, Sport, Leisure & Recreation, Surveying, Tourism, Veterinary Studies & Animal Care, Welfare & Community Services, ELICOS course",Australian Capital Territory,,,,http://students.anu.edu.au/scholarships/ug/cur/dom/john-kirby-memorial-scholarship.php
John Prichard Memorial Travel Scholarship,University of Western Australia,"Mrs Paula Prichard and family, friends and colleagues of the late John Prichard, who was the inaugural director of the Dental Health Services (DHS) in Western Australia and instrumental in implementing a range of dental care and prevention initiatives in the State, have established a fund to provide scholarships in perpetuity at The University of Western Australia.","The scholarship is open to dental students experiencing financial hardship who require financial assistance to undertake their dental practicum. It is preferred that students undertake their practicum in a rural or remote area of Western Australia, preferably in the Kimberley and preferably with the Kimberley Dental Team Inc.",,"Equity Scholarship, Travel Grant within Australia",Undergraduate,Co-Ed,Annual,Dental Studies,Perth Metropolitan,,Educational disadvantage,,http://www.scholarships.uwa.edu.au/
John Richards Initiative (JRI) Scholarship,La Trobe University,"In response to increased rates of population ageing and the subsequent importance of rural ageing and aged care research, the John Richards Initiative (JRI) at La Trobe University is offering 2 PhD scholarships to local, national and international candidates. The JRI is a dedicated rural ageing and aged care research centre located at the La Trobe University Albury-Wodonga campus, a thriving regional area on the border of New South Wales and Victoria.",Applicants must: have completed at least 4 years of tertiary studies at a very high level of achievement (i.e. first class honours degree or equivalent) at an Australian university or recognised overseas university.,30 June,Scholarship,,Co-Ed,Multiple/year,Humanities & Social Sciences,Goulburn-North Eastern,,,,http://www.latrobe.edu.au/aipca/john-richards-initiative
John Swan Chemistry Honours Scholarship,Monash University,The John Swan Chemistry Honours Scholarship is the School of Chemistry's premier award at the undergraduate level. It is awarded to high achieving undergraduate students who wish to continue their passion in chemistry through research programs offered in their honours year.,"Applicants must: be Australian or New Zealand citizens, Australian permanent residents, permanent humanitarian visa holders or international students; and be commencing or continuing full-time in an honours program in the School of Chemistry at the Monash University Clayton campus. Selection is based on academic achievement with emphasis placed on achievement in third year chemistry units or equivalent. Tenure is dependent on maintaining full-time enrolment.",End October,Scholarship,,Co-Ed,Annual,Sciences,Melbourne Metropolitan,,,Chemistry,http://www.monash.edu.au/study/scholarships/international/john-swan.html
